symbol,source,mean,two_sigma
x,0,2.005541933106194,0.5927837973441485
x,1,5.835580484506038,1.405251000817449
y,0,0.7782485035037758,0.9545144726081933
y,1,-0.3563463598000466,1.5669281418502843
z,0,-7.04018224948621,0.44086777153018314
z,1,-4.910467737908846,0.7812917853492839
r1,0,1.9470355881885704,0.08143896141852176
r1,1,1.0858888232815291,0.09858637278400752
r2/r1,0,1.442063506508595,0.09416026216246591
r2/r1,1,1.2270588291445528,0.23589471836625497
$\theta$,0,0.45971985478153754,0.13892464136959484
$\theta$,1,-0.43127629592749855,0.6087544373592068
$\phi$,0,4.619727205922311,0.34193751332665084
$\phi$,1,4.233005118030785,1.119028674192659
A,0,55.191328405472696,7.966775311286865
A,1,47.995562301116195,11.313323816765923
B,0,0.6938270646073659,0.150185790578911
B,1,-1.9413750190127868,0.3009664248734006
